epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.074,0.92525,1.4785,1.28208,0.90948,0.90147,0.95743,0.76819,0.66804,0.42013,0.94013,0.00330789,0.00330789,0.00330789
2,302.903,0.73928,0.61054,1.06862,0.90245,0.85663,0.95135,0.72475,0.82184,0.50457,1.00727,0.00662807,0.00662807,0.00662807
3,420.018,0.76176,0.58483,1.08438,0.92295,0.88318,0.94192,0.76402,0.67166,0.44895,0.96909,0.00993506,0.00993506,0.00993506
4,536.972,0.81534,0.608,1.10358,0.93961,0.82227,0.90165,0.72694,0.68601,0.55102,1.00314,0.0099406,0.0099406,0.0099406
5,653.903,0.78784,0.59332,1.10554,0.86641,0.87577,0.8988,0.71788,0.69917,0.57167,0.98866,0.0099208,0.0099208,0.0099208
6,770.884,0.79277,0.59927,1.1036,0.94232,0.86905,0.93334,0.78342,0.61461,0.49005,0.9461,0.009901,0.009901,0.009901
7,888.27,0.77877,0.58579,1.09384,0.95192,0.84511,0.93757,0.71176,0.84583,0.46735,1.0436,0.0098812,0.0098812,0.0098812
8,1005.36,0.74164,0.55032,1.08066,0.95576,0.86711,0.93355,0.78339,0.60383,0.42133,0.94022,0.0098614,0.0098614,0.0098614
9,1122.38,0.73992,0.55466,1.07258,0.89979,0.87819,0.93692,0.76234,0.64987,0.65237,0.94597,0.0098416,0.0098416,0.0098416
10,1239.34,0.72635,0.52848,1.06373,0.93376,0.87424,0.94988,0.81731,0.52,0.4706,0.90465,0.0098218,0.0098218,0.0098218
11,1356.81,0.71161,0.5261,1.06644,0.95358,0.86424,0.93352,0.75602,0.72193,0.49087,0.97286,0.009802,0.009802,0.009802
12,1473.77,0.68682,0.49427,1.04624,0.93946,0.88941,0.95649,0.81076,0.54855,0.36982,0.91702,0.0097822,0.0097822,0.0097822
13,1590.73,0.69063,0.50718,1.04137,0.93208,0.90593,0.96051,0.81147,0.58721,0.38841,0.91979,0.0097624,0.0097624,0.0097624
14,1707.64,0.69684,0.50139,1.04969,0.92936,0.90047,0.95953,0.77003,0.73187,0.41108,0.96408,0.0097426,0.0097426,0.0097426
15,1824.54,0.66657,0.47178,1.033,0.9411,0.85181,0.93542,0.78336,0.59538,0.40064,0.92922,0.0097228,0.0097228,0.0097228
16,1941.57,0.6792,0.49079,1.03701,0.937,0.9045,0.95823,0.81074,0.60032,0.37046,0.91816,0.009703,0.009703,0.009703
17,2058.49,0.66195,0.46831,1.03229,0.95422,0.91362,0.96625,0.79723,0.62549,0.3598,0.92672,0.0096832,0.0096832,0.0096832
18,2175.02,0.65181,0.45779,1.02812,0.93357,0.89771,0.94895,0.82676,0.52802,0.36125,0.90109,0.0096634,0.0096634,0.0096634
19,2291.75,0.6443,0.45746,1.02524,0.94583,0.87294,0.94525,0.83023,0.48521,0.4129,0.88067,0.0096436,0.0096436,0.0096436
20,2408.5,0.64681,0.45927,1.02834,0.94729,0.90805,0.96168,0.81757,0.56708,0.37144,0.9225,0.0096238,0.0096238,0.0096238
21,2524.7,0.63611,0.45289,1.02222,0.93491,0.86854,0.94397,0.80874,0.59338,0.39632,0.919,0.009604,0.009604,0.009604
22,2640.96,0.63574,0.45211,1.02369,0.93602,0.89024,0.96029,0.81044,0.58719,0.36727,0.90386,0.0095842,0.0095842,0.0095842
23,2757.17,0.63182,0.44759,1.02409,0.94845,0.89975,0.95508,0.85346,0.45285,0.34733,0.88942,0.0095644,0.0095644,0.0095644
24,2873.92,0.62577,0.43368,1.02172,0.92629,0.89935,0.95008,0.83181,0.48137,0.32755,0.88999,0.0095446,0.0095446,0.0095446
25,2990.1,0.60917,0.42222,1.01144,0.94939,0.9092,0.96689,0.79777,0.64806,0.35159,0.93202,0.0095248,0.0095248,0.0095248
26,3106.33,0.60418,0.42111,1.00789,0.95347,0.89709,0.95738,0.83941,0.48255,0.31863,0.88797,0.009505,0.009505,0.009505
27,3222.63,0.6206,0.43377,1.00769,0.97354,0.90023,0.96854,0.82492,0.57942,0.33178,0.9085,0.0094852,0.0094852,0.0094852
28,3338.93,0.5888,0.41667,1.00114,0.92247,0.93376,0.96334,0.83265,0.53139,0.33655,0.89739,0.0094654,0.0094654,0.0094654
29,3455.19,0.60023,0.41426,0.99834,0.96157,0.89909,0.967,0.82138,0.55698,0.32715,0.90997,0.0094456,0.0094456,0.0094456
30,3571.51,0.59238,0.40772,0.9958,0.95821,0.91071,0.96076,0.79129,0.65047,0.3459,0.92403,0.0094258,0.0094258,0.0094258
31,3687.94,0.61072,0.41577,1.00255,0.95224,0.92054,0.96415,0.84692,0.49877,0.30249,0.8848,0.009406,0.009406,0.009406
32,3804.31,0.60119,0.40962,1.00313,0.94649,0.9223,0.96625,0.83715,0.52844,0.30169,0.89373,0.0093862,0.0093862,0.0093862
33,3920.44,0.5869,0.39767,0.99435,0.91842,0.88323,0.94769,0.83072,0.47338,0.34212,0.88923,0.0093664,0.0093664,0.0093664
34,4036.74,0.58619,0.39795,0.99513,0.96103,0.88777,0.95337,0.82117,0.52835,0.33434,0.89485,0.0093466,0.0093466,0.0093466
35,4153.12,0.57382,0.39881,0.98904,0.9252,0.86028,0.93414,0.8241,0.4657,0.38246,0.88741,0.0093268,0.0093268,0.0093268
36,4269.4,0.59383,0.4024,0.99878,0.95501,0.88836,0.96428,0.85291,0.47787,0.31664,0.87521,0.009307,0.009307,0.009307
37,4385.6,0.5884,0.39894,1.00478,0.93949,0.90926,0.96124,0.81911,0.58277,0.32885,0.90943,0.0092872,0.0092872,0.0092872
38,4501.84,0.58659,0.39037,0.99388,0.95299,0.90207,0.95509,0.84914,0.48428,0.29941,0.88401,0.0092674,0.0092674,0.0092674
39,4618.19,0.57544,0.38679,0.99254,0.95645,0.89471,0.9605,0.84479,0.4781,0.29115,0.87432,0.0092476,0.0092476,0.0092476
