epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.022,0.60757,0.85071,1.06262,0.95226,0.94807,0.9757,0.87423,0.41516,0.23595,0.84386,0.00332593,0.00332593,0.00332593
2,806.729,0.51817,0.38768,0.96256,0.95633,0.95693,0.98239,0.84366,0.5869,0.29489,0.88901,0.00664607,0.00664607,0.00664607
3,1201.66,0.56787,0.43331,0.98279,0.91399,0.90128,0.93631,0.83329,0.50817,0.46108,0.88048,0.00995302,0.00995302,0.00995302
4,1595.83,0.5705,0.43707,0.98965,0.98445,0.93681,0.97969,0.87882,0.43081,0.29831,0.85702,0.0099406,0.0099406,0.0099406
5,1990.49,0.54221,0.42123,0.97678,0.98743,0.93696,0.98374,0.88805,0.40309,0.24974,0.8393,0.0099208,0.0099208,0.0099208
6,2385.02,0.5048,0.39079,0.95556,0.9664,0.93405,0.97588,0.85304,0.51404,0.29383,0.88108,0.009901,0.009901,0.009901
7,2779.11,0.49603,0.3781,0.95557,0.96845,0.95176,0.98699,0.88007,0.42682,0.26191,0.8395,0.0098812,0.0098812,0.0098812
8,3173.16,0.47263,0.36045,0.93816,0.98147,0.92799,0.9743,0.89964,0.37098,0.29163,0.83505,0.0098614,0.0098614,0.0098614
9,3567.63,0.45483,0.34971,0.9347,0.98025,0.94559,0.98296,0.9018,0.38357,0.2397,0.83733,0.0098416,0.0098416,0.0098416
10,3962.6,0.44508,0.34075,0.9308,0.98098,0.95107,0.98398,0.92799,0.3396,0.22496,0.82174,0.0098218,0.0098218,0.0098218
11,4357.61,0.43462,0.33538,0.92733,0.97661,0.94681,0.98291,0.89533,0.37697,0.23543,0.82696,0.009802,0.009802,0.009802
12,4752.14,0.42924,0.33047,0.92372,0.97361,0.95763,0.98331,0.89377,0.4022,0.23538,0.83678,0.0097822,0.0097822,0.0097822
13,5146.44,0.4179,0.32042,0.91898,0.97307,0.9529,0.98624,0.91436,0.37029,0.23535,0.84678,0.0097624,0.0097624,0.0097624
14,5540.75,0.40645,0.31112,0.91768,0.97871,0.95462,0.98694,0.92546,0.33227,0.22261,0.82157,0.0097426,0.0097426,0.0097426
15,5934.99,0.40417,0.308,0.91283,0.98342,0.95699,0.98917,0.94725,0.27705,0.20168,0.81089,0.0097228,0.0097228,0.0097228
16,6329.65,0.39521,0.30348,0.91155,0.97636,0.95046,0.98223,0.91865,0.33286,0.22374,0.82504,0.009703,0.009703,0.009703
17,6723.81,0.39105,0.30203,0.90945,0.97977,0.96692,0.99064,0.92936,0.33892,0.21417,0.82156,0.0096832,0.0096832,0.0096832
18,7118.03,0.38576,0.2901,0.90235,0.97828,0.96905,0.9892,0.93017,0.32891,0.20819,0.82206,0.0096634,0.0096634,0.0096634
19,7512.48,0.3826,0.29575,0.90496,0.98196,0.96756,0.99056,0.92994,0.34968,0.22016,0.83496,0.0096436,0.0096436,0.0096436
20,7906.94,0.37568,0.28517,0.90302,0.97826,0.96354,0.98959,0.95334,0.25571,0.19064,0.80009,0.0096238,0.0096238,0.0096238
21,8301.64,0.3705,0.28313,0.89888,0.97587,0.96485,0.98965,0.94252,0.29285,0.18316,0.81785,0.009604,0.009604,0.009604
22,8695.76,0.36461,0.28125,0.89895,0.98258,0.96735,0.99013,0.9248,0.35956,0.2189,0.83854,0.0095842,0.0095842,0.0095842
23,9090.21,0.36608,0.28327,0.89919,0.97784,0.96375,0.99052,0.94726,0.29658,0.17571,0.80508,0.0095644,0.0095644,0.0095644
24,9484.35,0.36086,0.2782,0.89435,0.96981,0.96495,0.98952,0.95691,0.24437,0.169,0.7996,0.0095446,0.0095446,0.0095446
25,9879.26,0.35917,0.2756,0.89667,0.97606,0.97283,0.99178,0.9479,0.31904,0.1813,0.81474,0.0095248,0.0095248,0.0095248
26,10273.6,0.34744,0.26735,0.88791,0.97577,0.962,0.98949,0.93794,0.31954,0.18626,0.81161,0.009505,0.009505,0.009505
27,10668,0.35213,0.26766,0.89155,0.97719,0.97033,0.99093,0.94779,0.30065,0.18402,0.8061,0.0094852,0.0094852,0.0094852
28,11062.2,0.34787,0.26436,0.88992,0.97777,0.96731,0.9904,0.95033,0.2939,0.18184,0.80858,0.0094654,0.0094654,0.0094654
29,11456.3,0.34477,0.2594,0.88812,0.97076,0.97148,0.98804,0.95467,0.22833,0.15986,0.79409,0.0094456,0.0094456,0.0094456
30,11850.6,0.34203,0.26077,0.88899,0.97454,0.96687,0.99072,0.95404,0.25424,0.16126,0.7961,0.0094258,0.0094258,0.0094258
31,12245.1,0.33888,0.25677,0.88549,0.98226,0.97054,0.99021,0.95347,0.27346,0.17791,0.79783,0.009406,0.009406,0.009406
32,12639.3,0.34008,0.25789,0.89029,0.96828,0.97702,0.99047,0.95783,0.25301,0.16948,0.79438,0.0093862,0.0093862,0.0093862
33,13034.2,0.33611,0.25817,0.88731,0.98427,0.96041,0.9913,0.95316,0.25681,0.16051,0.8001,0.0093664,0.0093664,0.0093664
34,13428.6,0.33288,0.25311,0.88412,0.98181,0.96394,0.9899,0.9576,0.24524,0.16075,0.7994,0.0093466,0.0093466,0.0093466
35,13821.9,0.32761,0.24745,0.88218,0.97895,0.96555,0.99,0.95678,0.25507,0.17204,0.79723,0.0093268,0.0093268,0.0093268
36,14216.1,0.33252,0.25267,0.88342,0.97873,0.97081,0.99198,0.95938,0.26377,0.16699,0.79741,0.009307,0.009307,0.009307
37,14611,0.3321,0.25315,0.88853,0.97642,0.97501,0.9911,0.95939,0.24943,0.16772,0.79621,0.0092872,0.0092872,0.0092872
38,15006,0.32637,0.25197,0.88392,0.9774,0.97059,0.99112,0.96062,0.22831,0.1603,0.79401,0.0092674,0.0092674,0.0092674
39,15400.7,0.32226,0.24394,0.88216,0.97514,0.97301,0.99208,0.9583,0.25379,0.16037,0.79493,0.0092476,0.0092476,0.0092476
40,15794.9,0.32079,0.24098,0.88274,0.97612,0.97663,0.99227,0.96121,0.23384,0.16742,0.79068,0.0092278,0.0092278,0.0092278
41,16189.5,0.32165,0.24474,0.87929,0.97675,0.97258,0.99158,0.95942,0.27126,0.16002,0.79776,0.009208,0.009208,0.009208
42,16583.5,0.32421,0.24518,0.8791,0.9786,0.9766,0.98994,0.95747,0.25386,0.15505,0.795,0.0091882,0.0091882,0.0091882
43,16977.6,0.31594,0.24024,0.87861,0.9811,0.96712,0.99155,0.96196,0.22599,0.14667,0.7895,0.0091684,0.0091684,0.0091684
44,17372.1,0.31211,0.23789,0.87541,0.97953,0.96799,0.99126,0.96287,0.22884,0.14281,0.78921,0.0091486,0.0091486,0.0091486
45,17766.8,0.31452,0.23797,0.87626,0.97515,0.97355,0.99134,0.96236,0.21984,0.15049,0.79363,0.0091288,0.0091288,0.0091288
46,18160.9,0.31959,0.24174,0.87731,0.9841,0.96591,0.99205,0.9639,0.23217,0.14121,0.79069,0.009109,0.009109,0.009109
47,18555.6,0.31411,0.23614,0.8771,0.98111,0.96771,0.99063,0.95997,0.25951,0.15709,0.79861,0.0090892,0.0090892,0.0090892
48,18949.7,0.31108,0.2357,0.87524,0.98261,0.97547,0.99229,0.96094,0.2498,0.14353,0.79595,0.0090694,0.0090694,0.0090694
49,19343.7,0.30841,0.23176,0.87644,0.98191,0.97467,0.99146,0.96263,0.25076,0.15067,0.80858,0.0090496,0.0090496,0.0090496
50,19737.7,0.30703,0.22925,0.87368,0.97742,0.97895,0.99125,0.9638,0.24605,0.15316,0.79102,0.0090298,0.0090298,0.0090298
51,20131.7,0.31068,0.23667,0.87555,0.98188,0.97682,0.99058,0.96332,0.22857,0.13535,0.78929,0.00901,0.00901,0.00901
52,20525.6,0.30257,0.22828,0.87297,0.98066,0.97318,0.9923,0.96441,0.21975,0.13858,0.78693,0.0089902,0.0089902,0.0089902
53,20920.1,0.30522,0.22987,0.87243,0.98419,0.96796,0.99081,0.96391,0.21834,0.14099,0.79061,0.0089704,0.0089704,0.0089704
