               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.014041,           0.0094573,           0.0054563,             0.98011,              0.9723,             0.99149,             0.93445,            0.005702,           0.0049797,           0.0022852,           0.0069614,           0.0069614,           0.0069614
                  33,            0.013932,           0.0095375,           0.0055903,             0.98227,             0.96856,             0.99175,             0.94683,           0.0053365,            0.004835,           0.0020174,           0.0068634,           0.0068634,           0.0068634
                  34,             0.01348,           0.0093527,            0.005717,             0.98136,             0.97779,             0.99176,             0.93952,           0.0056479,            0.004806,           0.0017145,           0.0067653,           0.0067653,           0.0067653
                  35,             0.01366,           0.0092722,           0.0058938,             0.98342,              0.9773,               0.992,             0.92685,           0.0061989,           0.0051114,           0.0015464,           0.0066673,           0.0066673,           0.0066673
                  36,            0.013459,           0.0091512,           0.0055559,             0.97979,             0.97888,             0.99236,             0.94141,           0.0056354,           0.0048703,           0.0016019,           0.0065693,           0.0065693,           0.0065693
                  37,            0.013276,           0.0091433,           0.0051326,             0.98215,             0.97213,             0.99211,             0.93437,           0.0057396,           0.0048098,           0.0013825,           0.0064713,           0.0064713,           0.0064713
                  38,            0.013274,            0.009099,           0.0053794,             0.98761,             0.97305,             0.99171,             0.91994,           0.0066634,           0.0051963,            0.001555,           0.0063733,           0.0063733,           0.0063733
                  39,            0.013426,           0.0093503,           0.0058196,             0.98274,             0.97554,             0.99136,             0.93682,           0.0056805,            0.004785,           0.0016735,           0.0062752,           0.0062752,           0.0062752
                  40,            0.013135,           0.0090617,           0.0052044,             0.98621,             0.97317,             0.99233,             0.94079,             0.00562,           0.0048143,           0.0016827,           0.0061772,           0.0061772,           0.0061772
                  41,              0.0128,           0.0090121,            0.005372,             0.98482,             0.97312,             0.99143,             0.94667,             0.00524,            0.004596,           0.0019859,           0.0060792,           0.0060792,           0.0060792
                  42,            0.012976,           0.0089449,           0.0052578,             0.98469,             0.97792,             0.99216,             0.93499,           0.0059869,           0.0048627,           0.0017622,           0.0059812,           0.0059812,           0.0059812
                  43,            0.013135,           0.0091299,           0.0052671,             0.98366,             0.97656,             0.99186,             0.94782,           0.0052003,           0.0045126,           0.0018238,           0.0058832,           0.0058832,           0.0058832
                  44,            0.012591,           0.0086456,           0.0049297,             0.98307,             0.97821,             0.99277,             0.92959,           0.0056421,           0.0046489,           0.0016304,           0.0057851,           0.0057851,           0.0057851
                  45,            0.012423,           0.0084266,           0.0047856,             0.98282,             0.97727,             0.99247,             0.94685,           0.0052749,           0.0046899,           0.0018344,           0.0056871,           0.0056871,           0.0056871
                  46,            0.012191,           0.0083178,           0.0046538,             0.98618,               0.974,             0.99238,              0.9472,           0.0052126,           0.0045855,           0.0017304,           0.0055891,           0.0055891,           0.0055891
                  47,            0.012609,           0.0087997,           0.0051131,             0.98379,             0.97345,             0.99219,             0.95319,           0.0049861,           0.0045269,           0.0016797,           0.0054911,           0.0054911,           0.0054911
                  48,            0.012351,           0.0084421,           0.0049522,             0.98586,             0.97152,             0.98993,             0.94884,           0.0051032,           0.0045045,           0.0018907,           0.0053931,           0.0053931,           0.0053931
                  49,            0.012143,           0.0083535,           0.0049148,             0.98568,             0.97321,              0.9911,             0.95623,           0.0046588,           0.0043721,           0.0016487,            0.005295,            0.005295,            0.005295
                  50,            0.012259,            0.008552,           0.0049019,             0.98303,             0.97833,             0.99136,             0.95154,           0.0048585,           0.0044841,           0.0017097,            0.005197,            0.005197,            0.005197
                  51,            0.011769,           0.0082146,           0.0047155,             0.98165,             0.97379,             0.99099,             0.94977,           0.0050039,           0.0045261,           0.0020869,            0.005099,            0.005099,            0.005099
                  52,            0.011891,           0.0082079,           0.0048682,             0.98663,             0.97385,             0.99252,              0.9488,           0.0050623,           0.0044455,           0.0013667,            0.005001,            0.005001,            0.005001
                  53,              0.0118,           0.0081843,           0.0049994,             0.98353,             0.97583,             0.99291,             0.94763,           0.0053506,           0.0044875,           0.0017111,            0.004903,            0.004903,            0.004903
                  54,            0.011731,            0.008072,           0.0047637,             0.98161,              0.9782,             0.99275,             0.95082,           0.0049457,           0.0043569,           0.0017225,            0.004805,            0.004805,            0.004805
                  55,            0.011673,           0.0082468,           0.0047515,             0.98488,             0.97409,             0.99225,             0.95545,           0.0047246,           0.0042582,           0.0018553,           0.0047069,           0.0047069,           0.0047069
                  56,            0.011518,           0.0079721,           0.0046386,             0.98537,             0.97531,             0.99238,             0.95464,           0.0047133,           0.0043357,           0.0018618,           0.0046089,           0.0046089,           0.0046089
                  57,            0.011384,           0.0079708,           0.0046518,             0.98582,             0.97527,             0.99136,             0.95373,           0.0046279,           0.0043612,           0.0019277,           0.0045109,           0.0045109,           0.0045109
                  58,            0.011254,           0.0078712,           0.0043724,             0.98454,             0.97746,             0.99215,             0.95273,           0.0050725,           0.0043755,           0.0018093,           0.0044129,           0.0044129,           0.0044129
                  59,             0.01137,           0.0081343,           0.0046336,              0.9801,             0.98056,             0.99289,             0.95611,           0.0048948,           0.0043271,           0.0016239,           0.0043149,           0.0043149,           0.0043149
                  60,            0.011185,           0.0079579,           0.0044012,             0.98427,             0.97688,             0.99202,             0.95813,           0.0044539,            0.004199,           0.0015833,           0.0042168,           0.0042168,           0.0042168
                  61,            0.010901,           0.0076719,           0.0041693,               0.987,             0.97442,             0.99261,             0.95388,           0.0047432,           0.0041956,           0.0017364,           0.0041188,           0.0041188,           0.0041188
                  62,            0.011108,           0.0078823,           0.0045131,             0.98667,             0.97428,             0.99224,             0.95349,           0.0051085,           0.0044012,           0.0017524,           0.0040208,           0.0040208,           0.0040208
                  63,             0.01092,           0.0077217,           0.0041583,             0.98497,             0.97705,             0.99144,             0.95761,            0.004444,           0.0041463,           0.0016958,           0.0039228,           0.0039228,           0.0039228
                  64,            0.010821,           0.0077908,           0.0046976,             0.98489,             0.97714,             0.99144,              0.9583,           0.0043601,           0.0040459,           0.0017375,           0.0038248,           0.0038248,           0.0038248
                  65,            0.010582,           0.0075265,           0.0044181,             0.98423,             0.97828,             0.99074,             0.95823,            0.004321,           0.0040677,           0.0018372,           0.0037267,           0.0037267,           0.0037267
                  66,            0.010683,           0.0076748,           0.0042275,             0.98359,             0.97893,             0.99099,             0.95813,           0.0042374,            0.004056,           0.0018643,           0.0036287,           0.0036287,           0.0036287
                  67,            0.010741,           0.0076179,           0.0043922,             0.98336,             0.97835,             0.99204,             0.95788,           0.0044485,           0.0041195,            0.001816,           0.0035307,           0.0035307,           0.0035307
                  68,            0.010307,           0.0074277,           0.0042775,              0.9838,             0.97611,             0.99144,             0.95807,           0.0041903,           0.0040495,           0.0019979,           0.0034327,           0.0034327,           0.0034327
                  69,            0.010356,            0.007342,           0.0042052,             0.98354,             0.97264,             0.99059,             0.95768,            0.004321,           0.0040948,           0.0021923,           0.0033347,           0.0033347,           0.0033347
                  70,            0.010321,           0.0073927,           0.0040881,             0.97906,             0.97491,             0.99131,             0.95771,            0.004417,           0.0040507,           0.0023246,           0.0032366,           0.0032366,           0.0032366
                  71,            0.010029,           0.0071772,           0.0041749,             0.98097,             0.97777,             0.99149,             0.95911,           0.0041965,           0.0040014,           0.0018982,           0.0031386,           0.0031386,           0.0031386
                  72,            0.010148,           0.0072003,           0.0040513,              0.9854,             0.97853,             0.99191,             0.95918,           0.0041527,           0.0039677,            0.001905,           0.0030406,           0.0030406,           0.0030406
                  73,            0.010219,           0.0072496,           0.0041413,             0.98512,             0.97896,             0.99159,             0.95853,           0.0041528,           0.0039454,           0.0019152,           0.0029426,           0.0029426,           0.0029426
                  74,            0.009917,           0.0070829,           0.0041554,             0.98726,             0.97682,             0.99201,             0.95889,            0.004257,           0.0039614,             0.00186,           0.0028446,           0.0028446,           0.0028446
                  75,            0.010109,           0.0072312,           0.0040842,             0.98681,             0.97722,             0.99184,             0.95948,           0.0041398,           0.0039418,           0.0019043,           0.0027465,           0.0027465,           0.0027465
                  76,           0.0098338,           0.0070409,           0.0040547,              0.9869,             0.97794,             0.99186,             0.95999,           0.0040288,           0.0039116,           0.0018419,           0.0026485,           0.0026485,           0.0026485
                  77,           0.0097001,           0.0068816,           0.0039829,             0.98812,              0.9765,             0.99205,             0.95965,           0.0041291,           0.0039252,           0.0018899,           0.0025505,           0.0025505,           0.0025505
                  78,           0.0095696,            0.006856,           0.0040546,             0.98622,             0.97689,             0.99177,             0.96023,           0.0039768,           0.0038653,           0.0019149,           0.0024525,           0.0024525,           0.0024525
                  79,           0.0095784,           0.0068259,           0.0040131,             0.98497,             0.97714,             0.99225,              0.9606,           0.0040594,            0.003893,           0.0018871,           0.0023545,           0.0023545,           0.0023545
                  80,            0.009647,           0.0069546,           0.0039363,              0.9841,             0.97688,             0.99138,             0.95975,           0.0041177,           0.0039017,           0.0018606,           0.0022564,           0.0022564,           0.0022564
                  81,            0.009532,           0.0067935,           0.0039258,             0.98345,             0.97599,             0.99216,             0.95995,           0.0041422,           0.0039109,           0.0019738,           0.0021584,           0.0021584,           0.0021584
                  82,            0.009308,           0.0066492,           0.0040927,             0.98594,             0.97835,             0.99244,             0.96045,           0.0039803,           0.0038608,           0.0018532,           0.0020604,           0.0020604,           0.0020604
                  83,           0.0094979,           0.0067101,           0.0039847,             0.98573,             0.97787,             0.99186,             0.95978,           0.0039972,           0.0038692,           0.0018478,           0.0019624,           0.0019624,           0.0019624
                  84,           0.0093925,           0.0067521,           0.0039375,             0.98309,             0.97794,              0.9916,             0.96025,           0.0040607,           0.0039478,           0.0019086,           0.0018644,           0.0018644,           0.0018644
                  85,           0.0090761,           0.0065299,           0.0038504,             0.98484,             0.97649,             0.99231,             0.96166,           0.0039801,           0.0038863,           0.0019376,           0.0017663,           0.0017663,           0.0017663
                  86,           0.0093169,           0.0066871,           0.0040423,             0.98585,             0.97755,             0.99218,             0.96147,           0.0039514,           0.0038635,           0.0019215,           0.0016683,           0.0016683,           0.0016683
                  87,           0.0091138,           0.0065482,           0.0038852,             0.98563,             0.97673,             0.99215,             0.96157,           0.0038948,           0.0038526,           0.0018988,           0.0015703,           0.0015703,           0.0015703
                  88,           0.0090042,           0.0066102,           0.0038443,             0.98615,             0.97682,             0.99212,             0.96217,           0.0037672,           0.0038101,           0.0018689,           0.0014723,           0.0014723,           0.0014723
                  89,           0.0087136,            0.006472,           0.0037758,             0.98531,             0.97768,             0.99139,             0.96196,           0.0038105,           0.0038359,           0.0018573,           0.0013743,           0.0013743,           0.0013743
                  90,           0.0088454,           0.0064095,           0.0037045,             0.98526,             0.97799,             0.99176,             0.96189,           0.0038126,            0.003853,           0.0019069,           0.0012762,           0.0012762,           0.0012762
                  91,           0.0085967,           0.0062337,           0.0037863,             0.98524,             0.97835,             0.99163,             0.96216,           0.0038039,           0.0038412,           0.0019061,           0.0011782,           0.0011782,           0.0011782
                  92,            0.008748,            0.006268,           0.0038092,             0.98591,             0.97817,             0.99078,             0.96229,           0.0037943,           0.0038253,           0.0019199,           0.0010802,           0.0010802,           0.0010802
                  93,           0.0084801,           0.0062983,           0.0036537,             0.98673,             0.97845,             0.99055,             0.96217,           0.0037877,           0.0038226,           0.0019353,          0.00098218,          0.00098218,          0.00098218
                  94,           0.0085666,           0.0063174,           0.0037841,             0.98634,              0.9769,             0.99105,             0.96247,           0.0038043,           0.0038217,           0.0019254,          0.00088416,          0.00088416,          0.00088416
                  95,           0.0082948,           0.0060517,           0.0033842,             0.98705,             0.97879,             0.99115,             0.96279,            0.003776,           0.0038105,           0.0019277,          0.00078614,          0.00078614,          0.00078614
                  96,           0.0085809,           0.0061338,           0.0037872,             0.98653,               0.979,              0.9913,             0.96304,           0.0037888,           0.0038069,            0.001922,          0.00068812,          0.00068812,          0.00068812
                  97,           0.0085182,           0.0061504,           0.0037027,             0.98633,             0.97833,             0.99138,             0.96306,           0.0037698,           0.0037871,           0.0019154,           0.0005901,           0.0005901,           0.0005901
                  98,           0.0082775,           0.0059799,            0.003618,              0.9863,             0.97837,             0.99142,             0.96327,           0.0037507,            0.003779,           0.0019335,          0.00049208,          0.00049208,          0.00049208
                  99,           0.0084088,           0.0060152,           0.0037216,             0.98634,              0.9791,             0.99144,             0.96359,           0.0037475,           0.0037785,           0.0019564,          0.00039406,          0.00039406,          0.00039406
                 100,           0.0082189,           0.0060337,           0.0034712,             0.98648,             0.97946,             0.99141,             0.96367,           0.0037485,           0.0037788,           0.0019559,          0.00029604,          0.00029604,          0.00029604
