               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052921,            0.029531,            0.037607,             0.72324,             0.89059,             0.88446,             0.53185,            0.022115,             0.01081,           0.0090966,            0.070067,           0.0033259,           0.0033259
                   1,            0.039822,            0.018828,            0.015537,             0.91862,             0.91225,             0.97282,             0.58949,            0.024149,           0.0095545,            0.004218,            0.040001,            0.006594,            0.006594
                   2,            0.033866,            0.016521,            0.013816,             0.98005,             0.94032,             0.97541,             0.72496,            0.017278,           0.0088745,            0.003412,           0.0098706,           0.0097967,           0.0097967
                   3,            0.029497,            0.015824,            0.013127,             0.98309,              0.9479,             0.98607,             0.70271,            0.020274,           0.0085919,           0.0026919,           0.0097059,           0.0097059,           0.0097059
                   4,            0.026468,            0.015001,            0.012214,             0.96508,               0.954,              0.9814,             0.65662,            0.019826,           0.0096352,           0.0033948,           0.0097059,           0.0097059,           0.0097059
                   5,            0.024112,            0.014105,            0.011285,             0.97297,             0.94772,             0.98424,             0.80421,            0.014062,           0.0080204,           0.0029209,           0.0096079,           0.0096079,           0.0096079
                   6,            0.022764,             0.01385,            0.010654,             0.97311,             0.95785,             0.98844,             0.85897,            0.010153,           0.0071338,           0.0026696,           0.0095099,           0.0095099,           0.0095099
                   7,            0.021953,            0.013402,            0.009895,             0.98307,             0.96443,             0.98859,             0.85789,            0.010246,           0.0065886,           0.0020844,           0.0094119,           0.0094119,           0.0094119
                   8,            0.020822,            0.013126,           0.0097655,             0.98175,             0.96487,             0.98845,             0.83842,            0.011384,           0.0073693,           0.0019707,           0.0093139,           0.0093139,           0.0093139
                   9,             0.01985,            0.012375,           0.0089702,             0.97697,             0.96312,              0.9903,             0.86612,           0.0093219,           0.0064135,           0.0026799,           0.0092158,           0.0092158,           0.0092158
                  10,            0.019052,            0.011983,           0.0086525,             0.98318,             0.96017,             0.99043,             0.88342,           0.0086185,           0.0063364,           0.0022335,           0.0091178,           0.0091178,           0.0091178
                  11,            0.018732,            0.011864,           0.0087464,             0.97912,             0.96772,             0.99057,             0.88557,           0.0085668,           0.0059974,           0.0024242,           0.0090198,           0.0090198,           0.0090198
                  12,            0.018202,            0.011686,           0.0085427,              0.9826,              0.9694,             0.99034,             0.87927,           0.0087629,           0.0063572,           0.0020721,           0.0089218,           0.0089218,           0.0089218
                  13,            0.017875,            0.011483,           0.0081348,             0.97984,             0.96502,             0.98836,             0.86567,           0.0087917,           0.0062334,           0.0026544,           0.0088238,           0.0088238,           0.0088238
                  14,            0.017361,            0.011366,           0.0083344,             0.97877,             0.96551,               0.991,              0.8756,           0.0081089,           0.0060444,            0.002153,           0.0087257,           0.0087257,           0.0087257
                  15,            0.017117,            0.011139,           0.0077085,             0.98031,             0.96819,             0.99002,             0.90632,            0.007011,           0.0055334,           0.0020105,           0.0086277,           0.0086277,           0.0086277
                  16,            0.016842,            0.011162,           0.0076157,             0.97641,             0.97805,             0.99232,             0.90775,           0.0072778,           0.0054169,            0.001849,           0.0085297,           0.0085297,           0.0085297
                  17,            0.017074,             0.01118,           0.0073746,             0.98054,             0.97491,             0.99156,             0.91845,           0.0066669,           0.0052606,           0.0018508,           0.0084317,           0.0084317,           0.0084317
                  18,            0.016055,            0.010756,           0.0070033,             0.97324,             0.97181,             0.99128,             0.91462,           0.0074862,            0.005702,           0.0020653,           0.0083337,           0.0083337,           0.0083337
                  19,            0.016157,            0.010597,           0.0070613,             0.97997,             0.97933,             0.99256,             0.87733,           0.0078671,           0.0055672,            0.001565,           0.0082356,           0.0082356,           0.0082356
                  20,            0.015677,            0.010481,           0.0066397,             0.97842,             0.97648,             0.99171,             0.90482,           0.0067743,           0.0052714,            0.001925,           0.0081376,           0.0081376,           0.0081376
                  21,            0.015482,             0.01035,           0.0069784,             0.97995,             0.96749,             0.98698,             0.92323,           0.0066498,           0.0056927,           0.0020857,           0.0080396,           0.0080396,           0.0080396
                  22,            0.015859,            0.010633,           0.0068495,             0.98531,             0.97521,             0.99241,             0.88803,           0.0077283,           0.0056468,           0.0016361,           0.0079416,           0.0079416,           0.0079416
                  23,            0.015314,            0.010318,           0.0065073,             0.98163,             0.97426,             0.99252,             0.92247,           0.0058952,           0.0052125,           0.0016382,           0.0078436,           0.0078436,           0.0078436
                  24,            0.015518,            0.010407,           0.0066744,             0.98302,             0.97608,             0.98976,             0.94068,           0.0059202,           0.0051977,           0.0017783,           0.0077455,           0.0077455,           0.0077455
                  25,            0.014873,            0.010082,           0.0062368,             0.98222,             0.97124,             0.99065,             0.90678,           0.0067519,           0.0053986,           0.0019749,           0.0076475,           0.0076475,           0.0076475
                  26,            0.014704,           0.0097903,            0.006354,             0.98156,             0.97072,              0.9918,             0.94375,           0.0052237,           0.0048373,           0.0019775,           0.0075495,           0.0075495,           0.0075495
                  27,            0.014485,            0.009723,            0.006144,             0.98392,             0.96979,             0.99027,             0.94135,             0.00561,           0.0049392,           0.0018993,           0.0074515,           0.0074515,           0.0074515
                  28,             0.01447,           0.0099036,           0.0059878,             0.97918,             0.97708,             0.99191,             0.91329,           0.0065331,           0.0051571,           0.0019089,           0.0073535,           0.0073535,           0.0073535
                  29,            0.014324,           0.0098092,           0.0060422,             0.98369,             0.96673,             0.99111,             0.94325,           0.0055081,           0.0046623,           0.0019332,           0.0072554,           0.0072554,           0.0072554
                  30,            0.014139,           0.0095766,           0.0056294,             0.98096,             0.97477,             0.99058,             0.93436,           0.0057769,           0.0047991,           0.0017526,           0.0071574,           0.0071574,           0.0071574
                  31,            0.014044,           0.0092518,           0.0056639,             0.98158,              0.9761,             0.99106,             0.92266,           0.0058599,            0.005198,           0.0017028,           0.0070594,           0.0070594,           0.0070594
