epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.06891722718886667,0.07080263124835044,0.0,0.0,0.9146631956100464,0.977023184299469,0.8806359171867371,0.02878827063943304,0.02768919371911103,0.0,0.01,0.01,0.01
2,0.03183025193109256,0.028613569305309398,0.0,0.0,0.9190158843994141,0.986478328704834,0.9004182815551758,0.02539793717941003,0.018967741590348027,0.0,0.01,0.01,0.01
3,0.025701183800470893,0.022463883707957374,0.0,0.0,0.9507576823234558,0.9871857762336731,0.9293602108955383,0.019624511544991816,0.01539369716885544,0.0,0.001,0.001,0.001
4,0.01902406070543553,0.01898160876664158,0.0,0.0,0.9707414507865906,0.9856097102165222,0.9589585065841675,0.013872791575046168,0.01471193035000137,0.0,0.001,0.001,0.001
5,0.018843834025444397,0.018277995993251583,0.0,0.0,0.9700155854225159,0.9855050444602966,0.9577044248580933,0.013854953992579664,0.01433919713322428,0.0,0.001,0.001,0.001
6,0.018150791749244083,0.017764006028464247,0.0,0.0,0.9706777930259705,0.9855069518089294,0.9594078660011292,0.01348768476773763,0.014000335286947944,0.0,0.0001,0.0001,0.0001
7,0.017563042629147964,0.01730099967556745,0.0,0.0,0.9714850187301636,0.9855427742004395,0.9599215984344482,0.013057763483153568,0.013823647506623751,0.0,0.0001,0.0001,0.0001
8,0.01754024048699213,0.01700904877012919,0.0,0.0,0.9712603688240051,0.985543966293335,0.9592509269714355,0.013080102086643734,0.013788720071759252,0.0,0.0001,0.0001,0.0001
9,0.01804509960447378,0.017941532724547977,0.0,0.0,0.9715767502784729,0.985495388507843,0.9599815011024475,0.01312053827790632,0.013920340786821075,0.0,1e-05,1e-05,1e-05
10,0.01775518941745801,0.017529794519309676,0.0,0.0,0.9716842174530029,0.985496461391449,0.9606344103813171,0.013055822396251773,0.013912921460966269,0.0,1e-05,1e-05,1e-05
11,0.0175353008029639,0.017062092842003714,0.0,0.0,0.971471905708313,0.9854841828346252,0.9602091312408447,0.013028387642753799,0.013856092855955163,0.0,1e-05,1e-05,1e-05
12,0.0177436741819519,0.01751341858114732,0.0,0.0,0.9716771245002747,0.9854942560195923,0.9605566263198853,0.013042165479245818,0.013998642962958132,0.0,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
13,0.01780542595326213,0.01762085907889847,0.0,0.0,0.9717008471488953,0.9854924082756042,0.9605188369750977,0.013062601573654405,0.013843310204157163,0.0,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
14,0.01753769751502904,0.017116297143895943,0.0,0.0,0.9717175960540771,0.985497772693634,0.9605129957199097,0.013069648181997417,0.01367079409482401,0.0,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
15,0.017734881235762116,0.01755799164901725,0.0,0.0,0.9716767072677612,0.985493004322052,0.9605395197868347,0.013067708993774085,0.013832156352388362,0.0,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07
16,0.017652912727329707,0.017209995889142828,0.0,0.0,0.9716886281967163,0.9854726195335388,0.9604679346084595,0.01305525773204863,0.013690468711068942,0.0,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07
17,0.017670409341799708,0.01747879490341252,0.0,0.0,0.9717054963111877,0.9854931235313416,0.9605203866958618,0.01306615455818939,0.013828275486871246,0.0,1.0000000000000002e-07,1.0000000000000002e-07,1.0000000000000002e-07
18,0.01772068160608491,0.01730366734014854,0.0,0.0,0.9716886281967163,0.9854913949966431,0.9604766964912415,0.013043637786592756,0.013805619817936704,0.0,1.0000000000000004e-08,1.0000000000000004e-08,1.0000000000000004e-08
