epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.14764661137274798,0.15945803795616623,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.005,0.005,0.005
1,0.13981789816523704,0.13374251956084854,0.0,0.0,0.8160909414291382,0.8946266174316406,0.7146215438842773,0.07171236125654296,0.05480039036391597,0.0,0.005,0.005,0.005
2,0.06516439696486376,0.06409186553686265,0.0,0.0,0.8583297729492188,0.9640626311302185,0.8044004440307617,0.04846108018567687,0.043028555859468486,0.0,0.005,0.005,0.005
3,0.057919775265018514,0.056795853070621946,0.0,0.0,0.8934345245361328,0.9799848198890686,0.8521227240562439,0.038636074646523126,0.034736280059932095,0.0,0.0005,0.0005,0.0005
4,0.0489977932211883,0.04908211417855592,0.0,0.0,0.9245753884315491,0.9807283282279968,0.8915634155273438,0.0309492581229853,0.03132222100210033,0.0,0.0005,0.0005,0.0005
5,0.04788156916302714,0.048911868556112466,0.0,0.0,0.9248620271682739,0.9807648658752441,0.8925574421882629,0.03030164488346169,0.030626323980916487,0.0,0.0005,0.0005,0.0005
6,0.04644533112183456,0.04640044611804831,0.0,0.0,0.9291085004806519,0.9817333817481995,0.8973792791366577,0.029637369596840518,0.02968635910043591,0.0,5e-05,5e-05,5e-05
7,0.047128576163341866,0.047159068580874715,0.0,0.0,0.9303226470947266,0.9820457100868225,0.8994390368461609,0.0295869658308986,0.029819234936056954,0.0,5e-05,5e-05,5e-05
8,0.0468066715398119,0.047537249514072864,0.0,0.0,0.9295960664749146,0.9820937514305115,0.8989498019218445,0.02969018534119976,0.029736096872703024,0.0,5e-05,5e-05,5e-05
9,0.0458043366254997,0.045908892899178405,0.0,0.0,0.9301890730857849,0.9818428158760071,0.8999558091163635,0.029716521746626024,0.029922887486846822,0.0,5e-06,5e-06,5e-06
10,0.0455080216047601,0.045555267301207285,0.0,0.0,0.9302375316619873,0.9818915128707886,0.899997889995575,0.02969504140415474,0.0296830501113283,0.0,5e-06,5e-06,5e-06
11,0.04483041576300324,0.04458302565630716,0.0,0.0,0.930219829082489,0.9819025993347168,0.9000046253204346,0.029629002766389596,0.029709196085796544,0.0,5e-06,5e-06,5e-06
12,0.04625093881203969,0.04601040631926232,0.0,0.0,0.9300517439842224,0.9819092750549316,0.8998674154281616,0.02950381835628497,0.029438474754753866,0.0,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07
13,0.04664655620956292,0.047235832726349174,0.0,0.0,0.9300102591514587,0.9819092750549316,0.8998332023620605,0.02957385594613458,0.029847942390724233,0.0,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07
14,0.04630157172648592,0.046778553255232204,0.0,0.0,0.9300517439842224,0.9819092750549316,0.8998575806617737,0.02956971957495338,0.029826287327236252,0.0,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07
15,0.04560136322128749,0.044278952396835485,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998293280601501,0.02958112624228785,0.029934230260550976,0.0,5.000000000000001e-08,5.000000000000001e-08,5.000000000000001e-08
16,0.04671544012671802,0.04636518975172349,0.0,0.0,0.9300102591514587,0.981913149356842,0.899834930896759,0.029567980526113195,0.029931571800261736,0.0,5.000000000000001e-08,5.000000000000001e-08,5.000000000000001e-08
17,0.04589294300063612,0.04650406922524835,0.0,0.0,0.9299688339233398,0.981913149356842,0.8997999429702759,0.029554902159265782,0.02963461160757824,0.0,5.000000000000001e-08,5.000000000000001e-08,5.000000000000001e-08
18,0.04553342869136638,0.04495052386008672,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998403549194336,0.02954824239407715,0.029871716605205285,0.0,5.000000000000002e-09,5.000000000000002e-09,5.000000000000002e-09
19,0.045927330786401974,0.0460873527276955,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998382687568665,0.029551120082798758,0.029937681913571924,0.0,5.000000000000002e-09,5.000000000000002e-09,5.000000000000002e-09
