epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,0.04531904917552531,0.04517687377775667,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998419046401978,0.02955408977638734,0.030194473477374566,0.0,5.000000000000002e-09,5.000000000000002e-09,5.000000000000002e-09
21,0.044631018651037295,0.04556201400902699,0.0,0.0,0.9299688339233398,0.9819167852401733,0.899791419506073,0.02957400120794773,0.029783965578596843,0.0,5.000000000000002e-10,5.000000000000002e-10,5.000000000000002e-10
22,0.044918205131332135,0.04354984578816529,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998289704322815,0.029577825316473058,0.030050093479650587,0.0,5.000000000000002e-10,5.000000000000002e-10,5.000000000000002e-10
23,0.04567386011959488,0.04529297652323184,0.0,0.0,0.9300102591514587,0.9819207787513733,0.8998343348503113,0.029498772426067216,0.029776238003059438,0.0,5.000000000000002e-10,5.000000000000002e-10,5.000000000000002e-10
24,0.044878385913321064,0.04494053258702369,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.02959414500449049,0.030092627202209673,0.0,5.000000000000003e-11,5.000000000000003e-11,5.000000000000003e-11
25,0.04572531805289062,0.04573619040087523,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029563664679268475,0.029769614412400284,0.0,5.000000000000003e-11,5.000000000000003e-11,5.000000000000003e-11
26,0.04578695281331117,0.046604657458043555,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029540390315416613,0.02951734559610486,0.0,5.000000000000003e-11,5.000000000000003e-11,5.000000000000003e-11
27,0.04606637858744238,0.04657076371332744,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029577428891666625,0.029725467786192894,0.0,5.000000000000003e-12,5.000000000000003e-12,5.000000000000003e-12
28,0.04491472966941673,0.044951259803190514,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029511131860904004,0.02961189517947404,0.0,5.000000000000003e-12,5.000000000000003e-12,5.000000000000003e-12
29,0.046893863603393336,0.047171415694086165,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029650666334323193,0.029737644363194704,0.0,5.000000000000003e-12,5.000000000000003e-12,5.000000000000003e-12
30,0.046591243650640754,0.047786604977084084,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029623566219877256,0.029770757120690848,0.0,5.000000000000003e-13,5.000000000000003e-13,5.000000000000003e-13
31,0.045696369769509394,0.04683946999524448,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029571736452022667,0.029687919923545497,0.0,5.000000000000003e-13,5.000000000000003e-13,5.000000000000003e-13
32,0.04675867614577962,0.04738895567904613,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029568263305057036,0.029847649269198116,0.0,5.000000000000003e-13,5.000000000000003e-13,5.000000000000003e-13
33,0.046069623550548305,0.04557204709514432,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029571709786786846,0.02984842729117525,0.0,5.000000000000003e-14,5.000000000000003e-14,5.000000000000003e-14
34,0.04578464483942794,0.04557557673532839,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.02962364307849815,0.029376982613221594,0.0,5.000000000000003e-14,5.000000000000003e-14,5.000000000000003e-14
35,0.047157218653107215,0.048070209259645766,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.02955929162961088,0.029717357731179186,0.0,5.000000000000003e-14,5.000000000000003e-14,5.000000000000003e-14
36,0.04531371192988996,0.04581441857601131,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.02956309260212277,0.02949233284514201,0.0,5.000000000000004e-15,5.000000000000004e-15,5.000000000000004e-15
37,0.04678851792612643,0.047365276868345754,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029605472680965538,0.02981257394544388,0.0,5.000000000000004e-15,5.000000000000004e-15,5.000000000000004e-15
38,0.04599686205686091,0.046038413884547706,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029534178075233574,0.029792888727235168,0.0,5.000000000000004e-15,5.000000000000004e-15,5.000000000000004e-15
39,0.04494751585783282,0.04494114350467443,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.02961566703590123,0.029709189909657364,0.0,5.000000000000004e-16,5.000000000000004e-16,5.000000000000004e-16
40,0.04622786591834015,0.04680055643554872,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.0295679041086451,0.029848488439854822,0.0,5.000000000000004e-16,5.000000000000004e-16,5.000000000000004e-16
41,0.045239993607207325,0.045519147163455884,0.0,0.0,0.9300102591514587,0.9819167852401733,0.8998319506645203,0.029578977436023324,0.02981013650270669,0.0,5.000000000000004e-16,5.000000000000004e-16,5.000000000000004e-16
