epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.274,0.63061,2.17645,1.0524,0.97237,0.91269,0.97706,0.83687,0.5601,0.94099,0.87749,0.0700665,0.00332594,0.00332594
2,257.057,0.53567,1.26155,0.93985,0.98644,0.92473,0.98047,0.81314,0.73091,1.2738,0.93954,0.0400012,0.006594,0.006594
3,367.085,0.59046,1.43667,0.96397,0.98578,0.89079,0.9476,0.84386,0.46654,1.64385,0.85381,0.00987062,0.00979671,0.00979671
4,481.786,0.59331,1.44772,0.9704,0.94531,0.86849,0.94688,0.86501,0.4181,1.87572,0.84965,0.00970594,0.00970594,0.00970594
5,598.737,0.55383,1.33351,0.96163,0.97812,0.89845,0.96888,0.89222,0.41016,0.95199,0.84489,0.00960792,0.00960792,0.00960792
6,711.072,0.51852,1.23994,0.9485,0.97767,0.92358,0.97334,0.87753,0.41548,0.90714,0.83894,0.0095099,0.0095099,0.0095099
7,827.187,0.48211,1.14106,0.92841,0.9641,0.94144,0.9791,0.91373,0.35251,0.78853,0.82003,0.00941188,0.00941188,0.00941188
8,945.619,0.46149,1.09675,0.92303,0.98067,0.94454,0.98411,0.8911,0.40484,0.74296,0.82452,0.00931386,0.00931386,0.00931386
9,1058.86,0.44388,1.05401,0.91674,0.97557,0.94639,0.98661,0.93761,0.31468,0.65765,0.80717,0.00921584,0.00921584,0.00921584
10,1171.04,0.43389,1.03767,0.91256,0.97161,0.94423,0.98462,0.92745,0.34833,0.79955,0.81986,0.00911782,0.00911782,0.00911782
11,1284.35,0.41773,1.00712,0.90817,0.97504,0.9487,0.9859,0.92897,0.33355,0.66601,0.81135,0.0090198,0.0090198,0.0090198
12,1389.87,0.40964,0.98187,0.90605,0.97442,0.95305,0.98422,0.91265,0.36287,0.70364,0.81602,0.00892178,0.00892178,0.00892178
13,1499.63,0.39778,0.96154,0.89995,0.97787,0.95814,0.9874,0.93055,0.33818,0.78974,0.84217,0.00882376,0.00882376,0.00882376
14,1612.35,0.3929,0.9417,0.89909,0.97778,0.95885,0.98809,0.92504,0.34714,0.63771,0.80662,0.00872574,0.00872574,0.00872574
15,1726.37,0.37611,0.90813,0.8896,0.97082,0.95855,0.98838,0.93265,0.3357,0.62977,0.8069,0.00862772,0.00862772,0.00862772
16,1837.64,0.37854,0.90534,0.89343,0.9749,0.9661,0.98873,0.93998,0.31662,0.60307,0.80188,0.0085297,0.0085297,0.0085297
17,1950.27,0.37764,0.89113,0.89115,0.96675,0.95966,0.98823,0.919,0.3392,0.62442,0.80276,0.00843168,0.00843168,0.00843168
18,2065.02,0.36746,0.87471,0.88705,0.97971,0.96858,0.98955,0.95094,0.27769,0.54174,0.7958,0.00833366,0.00833366,0.00833366
19,2175.08,0.36088,0.86331,0.88617,0.98089,0.95926,0.9886,0.93495,0.32341,0.59214,0.80163,0.00823564,0.00823564,0.00823564
20,2287.19,0.35813,0.85525,0.88505,0.97906,0.96155,0.98875,0.94373,0.2945,0.54516,0.79605,0.00813762,0.00813762,0.00813762
21,2397.07,0.35276,0.83169,0.88462,0.97706,0.96451,0.98981,0.93089,0.34136,0.58217,0.80572,0.0080396,0.0080396,0.0080396
22,2508.04,0.34685,0.83235,0.88033,0.96999,0.96541,0.98788,0.93279,0.32106,0.56294,0.80022,0.00794158,0.00794158,0.00794158
23,2618.62,0.35244,0.82778,0.88375,0.97799,0.96547,0.98984,0.94553,0.2871,0.54192,0.79477,0.00784356,0.00784356,0.00784356
24,2729.17,0.35088,0.81882,0.88021,0.98327,0.9551,0.98907,0.95178,0.26647,0.52787,0.79093,0.00774554,0.00774554,0.00774554
25,2841.17,0.33955,0.79049,0.8772,0.97891,0.95858,0.98957,0.95117,0.27139,0.53169,0.7985,0.00764752,0.00764752,0.00764752
26,2954.74,0.3379,0.78973,0.87925,0.97817,0.97073,0.99083,0.95425,0.25715,0.48933,0.78885,0.0075495,0.0075495,0.0075495
27,3065.3,0.32928,0.77007,0.87522,0.98385,0.96303,0.9918,0.95757,0.23831,0.49159,0.78541,0.00745149,0.00745149,0.00745149
28,3178.69,0.32797,0.76466,0.87464,0.98339,0.95927,0.98841,0.95778,0.26739,0.52672,0.79116,0.00735347,0.00735347,0.00735347
29,3292.66,0.32818,0.75805,0.87603,0.97507,0.96081,0.98933,0.9506,0.28294,0.50015,0.79113,0.00725545,0.00725545,0.00725545
30,3402.57,0.32737,0.75382,0.87167,0.98117,0.96601,0.99153,0.936,0.3419,0.52743,0.80183,0.00715743,0.00715743,0.00715743
31,3513.32,0.32394,0.74827,0.87496,0.97489,0.97623,0.99122,0.9569,0.25006,0.45951,0.78652,0.00705941,0.00705941,0.00705941
32,3626.43,0.31882,0.73786,0.87015,0.97717,0.96353,0.99098,0.96011,0.2446,0.47796,0.78519,0.00696139,0.00696139,0.00696139
