epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1390.19,0.55699,1.4897,0.95512,0.94895,0.92935,0.97321,0.8625,0.46314,1.202,0.86638,0.00598119,0.00598119,0.00598119
43,1422.29,0.5481,1.46505,0.95186,0.96114,0.91738,0.9718,0.87542,0.43373,1.1213,0.85633,0.00588317,0.00588317,0.00588317
44,1454.5,0.54077,1.44148,0.94856,0.95708,0.93128,0.97011,0.84889,0.49263,1.16463,0.87618,0.00578515,0.00578515,0.00578515
45,1486.59,0.54008,1.43061,0.94515,0.9521,0.92321,0.96432,0.85347,0.515,1.23893,0.87516,0.00568713,0.00568713,0.00568713
46,1518.68,0.53735,1.40773,0.94283,0.9531,0.92486,0.97286,0.88084,0.41606,1.05983,0.85267,0.00558911,0.00558911,0.00558911
47,1550.81,0.51392,1.37373,0.93466,0.96748,0.91202,0.96572,0.87837,0.41395,1.10356,0.85353,0.00549109,0.00549109,0.00549109
48,1582.86,0.51865,1.38694,0.94026,0.95847,0.92132,0.96659,0.8804,0.42016,1.09744,0.8546,0.00539307,0.00539307,0.00539307
49,1614.88,0.51617,1.3738,0.94124,0.9537,0.90677,0.95554,0.87341,0.41046,1.17677,0.85369,0.00529505,0.00529505,0.00529505
50,1646.89,0.52642,1.36434,0.94201,0.9514,0.91308,0.96442,0.87684,0.42183,1.12213,0.85588,0.00519703,0.00519703,0.00519703
51,1678.93,0.51538,1.35495,0.93687,0.9727,0.91564,0.97284,0.87682,0.43976,1.06409,0.85456,0.00509901,0.00509901,0.00509901
52,1710.94,0.51411,1.35575,0.93413,0.9549,0.90894,0.96449,0.87138,0.43552,1.12257,0.85455,0.00500099,0.00500099,0.00500099
53,1743.03,0.50753,1.32383,0.93039,0.95268,0.93359,0.96704,0.86868,0.45142,1.14895,0.85546,0.00490297,0.00490297,0.00490297
54,1775.12,0.5064,1.31381,0.93653,0.95974,0.91781,0.96563,0.87256,0.42369,1.06639,0.84962,0.00480495,0.00480495,0.00480495
55,1807.22,0.52295,1.36914,0.93895,0.96366,0.91523,0.95908,0.87505,0.40516,1.10884,0.85511,0.00470693,0.00470693,0.00470693
56,1839.49,0.49401,1.29559,0.9269,0.95114,0.91342,0.96278,0.87259,0.42198,1.09352,0.85409,0.00460891,0.00460891,0.00460891
57,1871.82,0.49807,1.30713,0.92609,0.96539,0.90894,0.96598,0.8783,0.41297,1.05553,0.85051,0.00451089,0.00451089,0.00451089
58,1904.12,0.48961,1.25819,0.92712,0.96651,0.92163,0.96618,0.87002,0.4463,1.05232,0.85618,0.00441287,0.00441287,0.00441287
59,1936.43,0.48345,1.24653,0.92642,0.95312,0.9197,0.96411,0.87924,0.42483,1.1005,0.85342,0.00431485,0.00431485,0.00431485
60,1968.9,0.47927,1.23379,0.92319,0.97342,0.91063,0.96882,0.87713,0.42999,1.02125,0.85166,0.00421683,0.00421683,0.00421683
61,2001.3,0.49385,1.26247,0.92727,0.96148,0.92351,0.96713,0.88709,0.40917,1.02332,0.8504,0.00411881,0.00411881,0.00411881
62,2033.61,0.48284,1.23179,0.92327,0.96764,0.92178,0.97454,0.89303,0.40513,0.9949,0.84836,0.00402079,0.00402079,0.00402079
63,2066.5,0.49363,1.26557,0.9263,0.96529,0.9247,0.96316,0.88237,0.40377,1.03996,0.8515,0.00392277,0.00392277,0.00392277
64,2099.14,0.44919,1.18067,0.90781,0.96401,0.90939,0.96977,0.88002,0.42448,1.08865,0.85082,0.00382475,0.00382475,0.00382475
65,2131.72,0.47274,1.20527,0.9197,0.96446,0.91128,0.96816,0.88728,0.39945,0.996,0.84831,0.00372673,0.00372673,0.00372673
66,2163.9,0.47222,1.20848,0.92016,0.96384,0.90674,0.96075,0.88789,0.39916,1.03739,0.85188,0.00362871,0.00362871,0.00362871
67,2196.74,0.46567,1.18247,0.91605,0.95956,0.92437,0.96934,0.88289,0.41116,0.98087,0.84896,0.00353069,0.00353069,0.00353069
68,2229.49,0.46051,1.15603,0.91174,0.94388,0.93154,0.96908,0.88681,0.39903,0.98216,0.84551,0.00343267,0.00343267,0.00343267
69,2262.31,0.47113,1.17584,0.92372,0.96709,0.93543,0.97481,0.8955,0.39365,0.93561,0.84589,0.00333465,0.00333465,0.00333465
70,2294.94,0.45727,1.1759,0.91709,0.96077,0.94193,0.97499,0.88466,0.41275,0.95425,0.85035,0.00323663,0.00323663,0.00323663
71,2327.28,0.45142,1.12591,0.91716,0.96912,0.92747,0.97008,0.88491,0.4189,1.00818,0.85471,0.00313861,0.00313861,0.00313861
72,2360.12,0.44594,1.13064,0.91222,0.96966,0.93482,0.96895,0.88771,0.38401,0.94651,0.8451,0.00304059,0.00304059,0.00304059
73,2392.48,0.45355,1.12791,0.91518,0.95369,0.93143,0.96191,0.88437,0.39668,1.00314,0.85043,0.00294257,0.00294257,0.00294257
74,2424.67,0.43884,1.11662,0.91162,0.95333,0.93271,0.9694,0.88981,0.38507,0.9675,0.84349,0.00284455,0.00284455,0.00284455
75,2456.86,0.44711,1.10636,0.90859,0.97101,0.93349,0.97,0.8863,0.39219,0.97453,0.8427,0.00274653,0.00274653,0.00274653
76,2489,0.44559,1.10116,0.91288,0.95959,0.92353,0.96941,0.88946,0.38655,0.9709,0.84404,0.00264851,0.00264851,0.00264851
77,2521.17,0.44645,1.12302,0.91351,0.9503,0.94484,0.96804,0.89335,0.3759,0.96226,0.84407,0.0025505,0.0025505,0.0025505
78,2553.34,0.44104,1.10834,0.91005,0.9598,0.93772,0.97521,0.89257,0.39272,0.94669,0.84453,0.00245248,0.00245248,0.00245248
79,2585.41,0.44354,1.09812,0.9117,0.95985,0.93029,0.96701,0.88604,0.40139,0.9965,0.84879,0.00235446,0.00235446,0.00235446
80,2617.5,0.4433,1.10302,0.90716,0.96298,0.92926,0.96615,0.89235,0.39871,0.96444,0.84592,0.00225644,0.00225644,0.00225644
81,2649.48,0.43532,1.08595,0.90519,0.9496,0.93288,0.97004,0.88898,0.40972,1.03622,0.84341,0.00215842,0.00215842,0.00215842
82,2681.49,0.44155,1.06725,0.90898,0.95985,0.93167,0.96707,0.89191,0.36998,0.96778,0.84208,0.0020604,0.0020604,0.0020604
83,2713.5,0.41276,1.01583,0.89642,0.96887,0.93118,0.97164,0.89364,0.38741,0.95544,0.84037,0.00196238,0.00196238,0.00196238
