Modelo,mAP@50-95,mAP@50,Precision,Recall,Train_Box_Loss,Val_Box_Loss
YOLOv5_3k,0.90723,0.97233,0.9357,0.9491,0.36337,0.34285
YOLOv5_7k,0.97039,0.993,0.98179,0.97835,0.2726,0.1937
YOLO11_3k,0.89908,0.97583,0.96395,0.918,0.43024,0.36482
YOLO11_7k,0.97304,0.99302,0.98557,0.97516,0.22147,0.17069
FasterRCNN_3k,0.9000046253204346,0.9819025993347168,0.0,0.930219829082489,0.0448304157630032,0.0296290027663895
FasterRCNN_7k,0.9606344103813172,0.985496461391449,0.0,0.9716842174530028,0.017755189417458,0.0130558223962517
