epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5975,0.95011,1.36415,1.30605,0.88264,0.85445,0.91886,0.72795,0.73848,0.53566,0.98188,0.00330808,0.00330808,0.00330808
2,129.976,0.7658,0.66009,1.08622,0.71729,0.81013,0.87076,0.68552,0.7371,0.89626,1.01163,0.00662826,0.00662826,0.00662826
3,180.261,0.82322,0.70484,1.12979,0.77295,0.77498,0.79493,0.56877,1.06344,0.97839,1.21044,0.00993525,0.00993525,0.00993525
4,230.656,0.86063,0.71085,1.14066,0.84114,0.67373,0.75985,0.56235,0.93547,1.49032,1.14581,0.0099406,0.0099406,0.0099406
5,280.545,0.84367,0.67903,1.14402,0.91004,0.81552,0.90862,0.73827,0.75104,0.6179,0.99624,0.0099208,0.0099208,0.0099208
6,330.387,0.79852,0.63346,1.12113,0.92311,0.84708,0.93554,0.68776,0.92006,0.65649,1.15226,0.009901,0.009901,0.009901
7,380.042,0.7922,0.61361,1.11669,0.90978,0.88351,0.93838,0.70892,0.82257,0.53913,1.06861,0.0098812,0.0098812,0.0098812
8,430.266,0.75074,0.57224,1.09447,0.93861,0.84894,0.92801,0.73981,0.74009,0.59197,1.09502,0.0098614,0.0098614,0.0098614
9,480.696,0.7295,0.56091,1.08584,0.94297,0.82328,0.93196,0.77258,0.64368,0.49249,0.98626,0.0098416,0.0098416,0.0098416
10,530.535,0.71829,0.56002,1.07674,0.92193,0.85625,0.9452,0.75018,0.78548,0.52493,1.02626,0.0098218,0.0098218,0.0098218
11,580.203,0.69862,0.53097,1.06895,0.8997,0.8403,0.92793,0.7604,0.66771,0.49117,1.00889,0.009802,0.009802,0.009802
12,630.095,0.68807,0.51297,1.06111,0.89993,0.86476,0.92083,0.76595,0.62146,0.53632,0.98507,0.0097822,0.0097822,0.0097822
13,680.363,0.70441,0.53847,1.07351,0.91767,0.87277,0.9364,0.78311,0.59874,0.4386,0.96986,0.0097624,0.0097624,0.0097624
14,730.036,0.67961,0.5066,1.06607,0.94731,0.86597,0.92996,0.77603,0.64349,0.44463,1.00066,0.0097426,0.0097426,0.0097426
15,779.593,0.65594,0.48155,1.04248,0.92348,0.84069,0.9295,0.81185,0.51051,0.40689,0.93017,0.0097228,0.0097228,0.0097228
16,829.486,0.66312,0.49044,1.05406,0.9487,0.88158,0.95174,0.84574,0.48958,0.34441,0.92496,0.009703,0.009703,0.009703
17,880.099,0.63248,0.47752,1.04171,0.95952,0.85945,0.95521,0.80231,0.56559,0.3688,0.98747,0.0096832,0.0096832,0.0096832
18,929.61,0.64221,0.47168,1.0418,0.92173,0.87135,0.93966,0.7839,0.61656,0.36431,1.02793,0.0096634,0.0096634,0.0096634
19,979.535,0.63379,0.4767,1.04254,0.9604,0.87417,0.94986,0.83858,0.50929,0.32935,0.97949,0.0096436,0.0096436,0.0096436
20,1029.13,0.64012,0.46597,1.04286,0.93886,0.8823,0.94866,0.79783,0.59175,0.35893,1.0054,0.0096238,0.0096238,0.0096238
21,1079.33,0.62722,0.45446,1.04078,0.95194,0.89744,0.96041,0.84911,0.46467,0.3205,0.95108,0.009604,0.009604,0.009604
22,1129.8,0.62061,0.45356,1.03451,0.93705,0.88133,0.94442,0.8074,0.54985,0.35515,0.97989,0.0095842,0.0095842,0.0095842
23,1179.45,0.61469,0.4495,1.03751,0.94678,0.89236,0.95307,0.85018,0.45247,0.31943,0.94946,0.0095644,0.0095644,0.0095644
24,1229.29,0.6076,0.43454,1.02557,0.94765,0.8975,0.95084,0.83108,0.51222,0.35188,0.96633,0.0095446,0.0095446,0.0095446
25,1279.08,0.59566,0.4166,1.01047,0.93624,0.88976,0.94865,0.84213,0.48952,0.32481,0.97144,0.0095248,0.0095248,0.0095248
26,1329.39,0.57583,0.41754,1.01614,0.94559,0.91204,0.9601,0.85003,0.47088,0.30849,0.95276,0.009505,0.009505,0.009505
27,1379.1,0.59015,0.42333,1.01444,0.93959,0.89029,0.95236,0.81265,0.58408,0.34438,1.00928,0.0094852,0.0094852,0.0094852
28,1428.71,0.58793,0.42081,1.0185,0.93187,0.89791,0.95927,0.82728,0.54381,0.31941,0.99617,0.0094654,0.0094654,0.0094654
29,1478.37,0.58263,0.42302,1.01162,0.94785,0.89605,0.95183,0.84161,0.49544,0.32981,0.96021,0.0094456,0.0094456,0.0094456
30,1528.66,0.56694,0.40626,1.01059,0.95211,0.90395,0.96276,0.84734,0.48834,0.29775,0.95205,0.0094258,0.0094258,0.0094258
31,1578.26,0.59098,0.40406,1.01068,0.9508,0.89729,0.95609,0.84031,0.47416,0.32516,0.91827,0.009406,0.009406,0.009406
32,1627.85,0.5571,0.3934,0.99687,0.92999,0.90837,0.95705,0.84816,0.4549,0.31456,0.93348,0.0093862,0.0093862,0.0093862
33,1677.95,0.54786,0.38919,0.99715,0.93659,0.904,0.96462,0.86,0.45369,0.29445,0.93219,0.0093664,0.0093664,0.0093664
34,1728.5,0.55424,0.39285,0.99843,0.96702,0.89517,0.96667,0.87486,0.43835,0.28941,0.93106,0.0093466,0.0093466,0.0093466
35,1778.6,0.54362,0.38281,0.99886,0.9299,0.88877,0.95563,0.84675,0.46224,0.30697,0.9469,0.0093268,0.0093268,0.0093268
36,1828.11,0.55494,0.37661,0.99886,0.9428,0.88616,0.94758,0.84286,0.45258,0.31729,0.93405,0.009307,0.009307,0.009307
37,1877.68,0.57207,0.38822,1.00121,0.96422,0.88468,0.95615,0.84077,0.46614,0.29611,0.92553,0.0092872,0.0092872,0.0092872
38,1927.63,0.55393,0.38276,0.99858,0.93413,0.90907,0.96263,0.82222,0.5519,0.31021,0.91431,0.0092674,0.0092674,0.0092674
39,1977.54,0.54882,0.38019,0.99633,0.95879,0.90002,0.95963,0.85902,0.46774,0.30027,0.927,0.0092476,0.0092476,0.0092476
40,2027.23,0.5328,0.38397,0.99109,0.95869,0.91321,0.96927,0.87756,0.41627,0.28969,0.90317,0.0092278,0.0092278,0.0092278
41,2077.04,0.52882,0.36948,0.98345,0.96602,0.88605,0.96076,0.86149,0.43753,0.29832,0.89865,0.009208,0.009208,0.009208
42,2126.95,0.5532,0.37846,0.99797,0.95236,0.91641,0.96503,0.86333,0.46255,0.28756,0.94473,0.0091882,0.0091882,0.0091882
43,2176.99,0.53518,0.36829,0.99209,0.93712,0.91357,0.96149,0.87181,0.41598,0.28207,0.92913,0.0091684,0.0091684,0.0091684
44,2226.62,0.52757,0.36667,0.99285,0.94453,0.91968,0.96668,0.83832,0.51345,0.29153,0.96677,0.0091486,0.0091486,0.0091486
45,2276.26,0.53268,0.36447,0.98957,0.94243,0.90936,0.96427,0.8767,0.40951,0.26714,0.92301,0.0091288,0.0091288,0.0091288
46,2325.93,0.53053,0.35119,0.98338,0.95734,0.88942,0.96584,0.85461,0.46865,0.2753,0.93539,0.009109,0.009109,0.009109
47,2376.29,0.51686,0.35808,0.98205,0.95591,0.89759,0.96126,0.86575,0.43064,0.28549,0.92073,0.0090892,0.0090892,0.0090892
48,2425.92,0.51331,0.3489,0.98075,0.95014,0.9119,0.96764,0.87705,0.41426,0.26352,0.93031,0.0090694,0.0090694,0.0090694
49,2475.53,0.51972,0.35939,0.98395,0.96879,0.91281,0.9642,0.8756,0.40048,0.26261,0.909,0.0090496,0.0090496,0.0090496
50,2525.25,0.5349,0.35984,0.98439,0.96357,0.87771,0.9511,0.86808,0.40874,0.2781,0.90769,0.0090298,0.0090298,0.0090298
51,2575.4,0.52089,0.35294,0.98032,0.96522,0.91447,0.96311,0.87054,0.41017,0.26652,0.92892,0.00901,0.00901,0.00901
52,2625.22,0.51811,0.35128,0.97712,0.95924,0.89904,0.96551,0.87741,0.41871,0.28502,0.90823,0.0089902,0.0089902,0.0089902
53,2674.81,0.5094,0.34188,0.9679,0.961,0.90956,0.97011,0.87844,0.40965,0.27687,0.91128,0.0089704,0.0089704,0.0089704
54,2724.61,0.51556,0.34664,0.98643,0.949,0.91622,0.96333,0.86686,0.42789,0.26475,0.92274,0.0089506,0.0089506,0.0089506
55,2774.73,0.52785,0.35682,0.98087,0.95666,0.90307,0.9661,0.87819,0.40476,0.25496,0.91473,0.0089308,0.0089308,0.0089308
56,2824.77,0.50407,0.33836,0.97283,0.95118,0.9156,0.96601,0.88339,0.40467,0.26326,0.91392,0.008911,0.008911,0.008911
57,2874.55,0.50901,0.34709,0.96394,0.9487,0.91224,0.96596,0.86903,0.4415,0.26746,0.87847,0.0088912,0.0088912,0.0088912
58,2924.16,0.4986,0.33733,0.96488,0.96196,0.89692,0.95758,0.86531,0.4375,0.27804,0.91851,0.0088714,0.0088714,0.0088714
59,2973.73,0.49604,0.33412,0.96809,0.95293,0.90397,0.96767,0.87002,0.43774,0.26193,0.91305,0.0088516,0.0088516,0.0088516
