epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,8074.33,0.29567,0.22219,0.87881,0.97834,0.97751,0.99163,0.96458,0.21851,0.13934,0.81152,0.0090298,0.0090298,0.0090298
51,8235.53,0.29101,0.22156,0.8806,0.98261,0.97006,0.99146,0.96515,0.22058,0.13445,0.81322,0.00901,0.00901,0.00901
52,8397.2,0.29166,0.21685,0.87639,0.98112,0.97323,0.99139,0.96437,0.20134,0.12863,0.80624,0.0089902,0.0089902,0.0089902
53,8560.05,0.29323,0.21695,0.87861,0.98551,0.96924,0.99234,0.96606,0.21449,0.132,0.81066,0.0089704,0.0089704,0.0089704
54,8721.5,0.29185,0.21551,0.87592,0.98406,0.96934,0.99253,0.96608,0.20943,0.13074,0.80795,0.0089506,0.0089506,0.0089506
55,8882.72,0.2841,0.21125,0.87339,0.98347,0.96781,0.99155,0.96303,0.21819,0.12777,0.81367,0.0089308,0.0089308,0.0089308
56,9043.5,0.29384,0.21819,0.87631,0.98264,0.97308,0.99259,0.96542,0.21569,0.12996,0.81178,0.008911,0.008911,0.008911
57,9204.03,0.28334,0.21113,0.87182,0.98035,0.97672,0.99187,0.96671,0.20119,0.12946,0.8038,0.0088912,0.0088912,0.0088912
58,9369.73,0.28572,0.21199,0.87182,0.97889,0.97832,0.99272,0.96626,0.2038,0.1225,0.80627,0.0088714,0.0088714,0.0088714
59,9536.13,0.2858,0.20895,0.87516,0.97733,0.98006,0.99244,0.9666,0.20096,0.12589,0.80536,0.0088516,0.0088516,0.0088516
60,9702.94,0.28423,0.2098,0.87209,0.98218,0.97395,0.99229,0.96411,0.19993,0.12664,0.8003,0.0088318,0.0088318,0.0088318
61,9864.89,0.28471,0.21044,0.87377,0.97945,0.97639,0.99265,0.96466,0.20574,0.12478,0.80665,0.008812,0.008812,0.008812
62,10026.6,0.28254,0.20844,0.87424,0.98411,0.9731,0.99275,0.96645,0.19753,0.12892,0.80455,0.0087922,0.0087922,0.0087922
63,10190.4,0.2774,0.20127,0.87248,0.97966,0.97688,0.99276,0.96802,0.19364,0.12092,0.8024,0.0087724,0.0087724,0.0087724
64,10358,0.28091,0.20464,0.8721,0.98228,0.97632,0.99228,0.96827,0.18779,0.11697,0.80086,0.0087526,0.0087526,0.0087526
65,10521.7,0.27785,0.20179,0.87122,0.98102,0.97861,0.99212,0.96744,0.19882,0.11728,0.80472,0.0087328,0.0087328,0.0087328
66,10683.3,0.27508,0.20067,0.86839,0.98113,0.97762,0.99286,0.96812,0.1886,0.11677,0.80108,0.008713,0.008713,0.008713
67,10843.2,0.28133,0.20449,0.87386,0.97828,0.97881,0.9924,0.96726,0.19605,0.12021,0.80269,0.0086932,0.0086932,0.0086932
68,11003.9,0.27716,0.20385,0.87318,0.97954,0.97428,0.99256,0.96873,0.18974,0.11784,0.80028,0.0086734,0.0086734,0.0086734
69,11170.2,0.28,0.20184,0.87263,0.97996,0.9806,0.99276,0.9686,0.18538,0.11492,0.7985,0.0086536,0.0086536,0.0086536
70,11330.8,0.27802,0.2023,0.87213,0.98426,0.97435,0.99211,0.96713,0.18778,0.11597,0.79801,0.0086338,0.0086338,0.0086338
71,11491.2,0.2796,0.20376,0.87441,0.98449,0.97437,0.99243,0.9688,0.18875,0.11688,0.80187,0.008614,0.008614,0.008614
72,11651.7,0.27706,0.1988,0.87542,0.98113,0.97667,0.99222,0.96815,0.19097,0.11545,0.80136,0.0085942,0.0085942,0.0085942
73,11812,0.28105,0.19935,0.87412,0.98187,0.97751,0.99244,0.96917,0.18805,0.11503,0.80071,0.0085744,0.0085744,0.0085744
74,11972.4,0.27395,0.19942,0.87018,0.98298,0.97542,0.99241,0.9691,0.1952,0.11409,0.80468,0.0085546,0.0085546,0.0085546
75,12132.2,0.27714,0.19824,0.87124,0.98397,0.97693,0.99276,0.9689,0.1861,0.11203,0.80017,0.0085348,0.0085348,0.0085348
76,12292.6,0.26774,0.19058,0.86757,0.97841,0.97744,0.99233,0.96709,0.18904,0.11249,0.8004,0.008515,0.008515,0.008515
77,12452.7,0.27962,0.1971,0.87211,0.98094,0.97867,0.99236,0.96752,0.18906,0.11444,0.79873,0.0084952,0.0084952,0.0084952
78,12617.4,0.27377,0.19741,0.86803,0.98439,0.97739,0.99238,0.96815,0.1868,0.11446,0.78239,0.0084754,0.0084754,0.0084754
79,12778.1,0.26959,0.19498,0.86706,0.98469,0.97267,0.99267,0.96775,0.19407,0.11634,0.77961,0.0084556,0.0084556,0.0084556
80,12944.4,0.26886,0.19581,0.87032,0.98384,0.97435,0.99249,0.96921,0.18562,0.11541,0.79407,0.0084358,0.0084358,0.0084358
81,13110.2,0.26272,0.19156,0.86484,0.98169,0.97811,0.99284,0.96928,0.18385,0.10829,0.7992,0.008416,0.008416,0.008416
82,13277.2,0.27119,0.19634,0.86966,0.983,0.9761,0.99262,0.96921,0.18605,0.10981,0.79988,0.0083962,0.0083962,0.0083962
83,13439.2,0.26771,0.19342,0.86557,0.98459,0.97919,0.99262,0.96955,0.18803,0.11011,0.79963,0.0083764,0.0083764,0.0083764
84,13599.4,0.26703,0.19091,0.86612,0.98401,0.97653,0.99279,0.96937,0.19122,0.11194,0.8012,0.0083566,0.0083566,0.0083566
85,13759.9,0.26534,0.18738,0.86494,0.98353,0.97733,0.9927,0.96983,0.18636,0.10935,0.79883,0.0083368,0.0083368,0.0083368
86,13919.9,0.27061,0.18956,0.86792,0.98318,0.9769,0.99293,0.96992,0.18368,0.10822,0.79836,0.008317,0.008317,0.008317
87,14081.7,0.2674,0.18983,0.86975,0.98338,0.97707,0.99315,0.97074,0.1831,0.10518,0.79736,0.0082972,0.0082972,0.0082972
88,14247.5,0.26786,0.18917,0.86645,0.97712,0.97926,0.99298,0.97052,0.18552,0.10811,0.79697,0.0082774,0.0082774,0.0082774
89,14409.4,0.26709,0.18961,0.86459,0.98114,0.97567,0.99297,0.97068,0.1852,0.10835,0.79612,0.0082576,0.0082576,0.0082576
90,14569.6,0.26746,0.19133,0.86084,0.98086,0.97686,0.99312,0.97062,0.18571,0.11477,0.76993,0.0082378,0.0082378,0.0082378
91,14729.4,0.26707,0.1919,0.86269,0.98441,0.97467,0.99307,0.97064,0.18985,0.1232,0.77739,0.008218,0.008218,0.008218
