epoch,time,train_loss,train_box,train_cls,train_rpn,val_loss,val_box,val_cls,val_rpn,map50,map50_95,recall,lr
0,338.42,0.15272,0.07284,0.06560,0.01428,0.09095,0.05131,0.03372,0.00592,0.96518,0.81537,0.84718,0.005000
1,339.55,0.05876,0.02866,0.02457,0.00554,0.06029,0.02984,0.02428,0.00616,0.97085,0.88825,0.91100,0.005000
2,340.46,0.04825,0.02339,0.01999,0.00486,0.05426,0.02598,0.02278,0.00550,0.96682,0.90193,0.92806,0.005000
3,341.44,0.04311,0.02115,0.01817,0.00380,0.04141,0.01889,0.01829,0.00424,0.97607,0.94375,0.95718,0.005000
4,341.90,0.03629,0.01788,0.01512,0.00329,0.04200,0.01850,0.01882,0.00468,0.97636,0.94065,0.95489,0.005000
5,339.64,0.03316,0.01620,0.01362,0.00334,0.03920,0.01801,0.01660,0.00459,0.97418,0.93306,0.95152,0.005000
6,341.52,0.03004,0.01472,0.01251,0.00280,0.03858,0.01567,0.01740,0.00550,0.97435,0.94622,0.95871,0.005000
7,341.24,0.02755,0.01394,0.01133,0.00229,0.03671,0.01520,0.01680,0.00471,0.97163,0.94589,0.95913,0.005000
8,342.18,0.03114,0.01551,0.01315,0.00249,0.03981,0.01517,0.01788,0.00676,0.97000,0.95255,0.96206,0.005000
9,342.00,0.02342,0.01213,0.00972,0.00157,0.03890,0.01376,0.01767,0.00746,0.97001,0.95080,0.96213,0.005000
10,342.25,0.02425,0.01220,0.01009,0.00197,0.03632,0.01477,0.01620,0.00535,0.97502,0.95213,0.96228,0.005000
11,340.92,0.02420,0.01186,0.01030,0.00204,0.03568,0.01417,0.01513,0.00638,0.97498,0.95579,0.96515,0.005000
12,341.58,0.02395,0.01159,0.01025,0.00212,0.03012,0.01276,0.01401,0.00334,0.97656,0.95647,0.96720,0.005000
13,343.15,0.02204,0.01094,0.00919,0.00190,0.03383,0.01226,0.01524,0.00634,0.97503,0.95834,0.96677,0.005000
14,342.05,0.02132,0.01098,0.00891,0.00143,0.03240,0.01288,0.01440,0.00512,0.97503,0.95614,0.96612,0.005000
15,342.43,0.02124,0.01070,0.00875,0.00179,0.03014,0.01210,0.01390,0.00414,0.97848,0.95870,0.96831,0.005000
16,342.92,0.01989,0.01016,0.00845,0.00129,0.03444,0.01236,0.01509,0.00698,0.97501,0.95864,0.96640,0.005000
17,342.93,0.02055,0.00986,0.00899,0.00170,0.03050,0.01265,0.01336,0.00448,0.97502,0.95746,0.96816,0.005000
18,342.73,0.01791,0.00913,0.00741,0.00138,0.03167,0.01175,0.01452,0.00540,0.97504,0.95841,0.96659,0.005000
19,342.67,0.01766,0.00933,0.00728,0.00105,0.03256,0.01317,0.01388,0.00551,0.97509,0.95518,0.96535,0.005000
20,342.30,0.01391,0.00680,0.00621,0.00090,0.03003,0.00967,0.01410,0.00627,0.97511,0.96161,0.96891,0.000500
21,342.80,0.01381,0.00675,0.00623,0.00082,0.02740,0.00973,0.01282,0.00485,0.97504,0.96149,0.96964,0.000500
22,343.29,0.01472,0.00710,0.00660,0.00102,0.02921,0.00956,0.01353,0.00611,0.97510,0.96179,0.96958,0.000500
23,341.89,0.01587,0.00732,0.00706,0.00149,0.02767,0.00949,0.01293,0.00524,0.97511,0.96200,0.96961,0.000500
24,343.37,0.01675,0.00804,0.00725,0.00146,0.02809,0.00971,0.01325,0.00513,0.97508,0.96186,0.96965,0.000500
25,343.44,0.01499,0.00749,0.00662,0.00088,0.02955,0.00973,0.01378,0.00605,0.97510,0.96144,0.96900,0.000500
26,342.30,0.01496,0.00741,0.00657,0.00098,0.02921,0.00969,0.01342,0.00609,0.97509,0.96240,0.96988,0.000500
27,342.14,0.01493,0.00711,0.00663,0.00119,0.02848,0.00958,0.01322,0.00568,0.97510,0.96164,0.96996,0.000500
28,341.97,0.01374,0.00684,0.00613,0.00076,0.02882,0.00975,0.01327,0.00580,0.97508,0.96181,0.96984,0.000500
29,342.09,0.01510,0.00753,0.00644,0.00114,0.02731,0.00938,0.01257,0.00536,0.97506,0.96209,0.97033,0.000500
30,343.28,0.01583,0.00803,0.00673,0.00107,0.02915,0.00972,0.01349,0.00595,0.97510,0.96159,0.96911,0.000500
31,342.34,0.01433,0.00706,0.00636,0.00092,0.02919,0.00953,0.01365,0.00600,0.97509,0.96125,0.96910,0.000050
32,342.94,0.01481,0.00742,0.00637,0.00101,0.02937,0.00953,0.01372,0.00612,0.97509,0.96126,0.96901,0.000050
33,343.21,0.01405,0.00675,0.00622,0.00108,0.02910,0.00946,0.01354,0.00610,0.97510,0.96125,0.96898,0.000050
34,341.49,0.01632,0.00773,0.00712,0.00147,0.02877,0.00949,0.01339,0.00589,0.97510,0.96189,0.96964,0.000050
35,343.23,0.01430,0.00699,0.00642,0.00089,0.02849,0.00946,0.01318,0.00584,0.97510,0.96173,0.96927,0.000005
36,343.27,0.01466,0.00720,0.00642,0.00104,0.02851,0.00945,0.01314,0.00591,0.97510,0.96171,0.96927,0.000005
37,342.05,0.01328,0.00652,0.00594,0.00083,0.02858,0.00946,0.01327,0.00585,0.97510,0.96148,0.96926,0.000005
38,342.15,0.01279,0.00641,0.00558,0.00080,0.02854,0.00946,0.01326,0.00582,0.97510,0.96172,0.96934,0.000005
39,343.27,0.01458,0.00712,0.00636,0.00109,0.02857,0.00946,0.01329,0.00581,0.97510,0.96172,0.96934,0.000001
40,341.76,0.01477,0.00719,0.00659,0.00099,0.02859,0.00944,0.01335,0.00580,0.97510,0.96172,0.96934,0.000001
41,341.94,0.01488,0.00733,0.00654,0.00101,0.02868,0.00947,0.01328,0.00592,0.97510,0.96149,0.96926,0.000001
